method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,output_dir
ring,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/ring_n30_seed42_dmax4
ring,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/ring_n30_seed43_dmax4
ring,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/ring_n30_seed44_dmax4
ring,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/ring_n30_seed45_dmax4
ring,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/ring_n30_seed46_dmax4
static_random,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/static_random_n30_seed42_dmax4
static_random,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/static_random_n30_seed43_dmax4
static_random,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/static_random_n30_seed44_dmax4
static_random,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/static_random_n30_seed45_dmax4
static_random,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/static_random_n30_seed46_dmax4
epidemic,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/epidemic_n30_seed42_dmax4
epidemic,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/epidemic_n30_seed43_dmax4
epidemic,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/epidemic_n30_seed44_dmax4
epidemic,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/epidemic_n30_seed45_dmax4
epidemic,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/epidemic_n30_seed46_dmax4
dissdl,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/dissdl_n30_seed42_dmax4
dissdl,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/dissdl_n30_seed43_dmax4
dissdl,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/dissdl_n30_seed44_dmax4
dissdl,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/dissdl_n30_seed45_dmax4
dissdl,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/dissdl_n30_seed46_dmax4
lfhe,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/lfhe_n30_seed42_dmax4
lfhe,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/lfhe_n30_seed43_dmax4
lfhe,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/lfhe_n30_seed44_dmax4
lfhe,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/lfhe_n30_seed45_dmax4
lfhe,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,outputs/canonical/lfhe_n30_seed46_dmax4
