method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,output_dir
ring,25,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/ring_n25_seed42_dmax4
ring,25,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/ring_n25_seed43_dmax4
ring,25,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/ring_n25_seed44_dmax4
ring,50,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n50_seed42_dmax4
ring,50,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n50_seed43_dmax4
ring,50,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n50_seed44_dmax4
ring,100,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n100_seed42_dmax4
ring,100,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n100_seed43_dmax4
ring,100,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n100_seed44_dmax4
ring,200,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n200_seed42_dmax4
ring,200,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n200_seed43_dmax4
ring,200,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n200_seed44_dmax4
ring,500,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n500_seed42_dmax4
ring,500,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n500_seed43_dmax4
ring,500,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/ring_n500_seed44_dmax4
static_random,25,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/static_random_n25_seed42_dmax4
static_random,25,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/static_random_n25_seed43_dmax4
static_random,25,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,25,true,sequential,outputs/scaling_pilot/static_random_n25_seed44_dmax4
static_random,50,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,outputs/scaling_pilot/static_random_n50_seed42_dmax4
