stage,method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,representation_mode,lfhe_start_round,output_dir
paper_alignment,ring,10,42,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/ring_n10_seed42_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,ring,10,43,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/ring_n10_seed43_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,ring,10,44,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/ring_n10_seed44_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,static_random,10,42,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/static_random_n10_seed42_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,static_random,10,43,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/static_random_n10_seed43_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,static_random,10,44,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/static_random_n10_seed44_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,epidemic,10,42,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/epidemic_n10_seed42_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,epidemic,10,43,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/epidemic_n10_seed43_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,epidemic,10,44,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/epidemic_n10_seed44_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,dissdl,10,42,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/dissdl_n10_seed42_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
paper_alignment,dissdl,10,43,300,scalable,0.3,4,5,5,canonical_er,1.0,1,32,10,10,true,sequential,fixed_total,,,0.0,0,class_mean,0,outputs/paper_alignment/dissdl_n10_seed43_d4_p1_canonical_er_class_mean_start0_link0_stale0_fixed_total
