method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,output_dir
static_random,2000,42,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed42_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,43,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed43_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,44,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed44_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed43_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed44_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,42,300,scalable,0.1,8,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed42_d8_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,43,300,scalable,0.1,8,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed43_d8_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,44,300,scalable,0.1,8,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed44_d8_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,42,300,scalable,0.1,log2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed42_dlog2_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,43,300,scalable,0.1,log2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed43_dlog2_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,2000,44,300,scalable,0.1,log2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/static_random_n2000_seed44_dlog2_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,42,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed42_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,43,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed43_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,44,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed44_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed43_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed44_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,42,300,scalable,0.1,8,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed42_d8_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,43,300,scalable,0.1,8,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed43_d8_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,44,300,scalable,0.1,8,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed44_d8_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,42,300,scalable,0.1,log2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed42_dlog2_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,43,300,scalable,0.1,log2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed43_dlog2_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,2000,44,300,scalable,0.1,log2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/random_fof_n2000_seed44_dlog2_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,2000,42,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/lfhe_n2000_seed42_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,2000,43,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/lfhe_n2000_seed43_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,2000,44,300,scalable,0.1,2,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/lfhe_n2000_seed44_d2_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,2000,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,2,0.0,0,outputs/optional_degree2000/lfhe_n2000_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
