method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,output_dir
static_random,100,45,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/static_random_n100_seed45_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,100,46,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/static_random_n100_seed46_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,100,45,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/random_fof_n100_seed45_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,100,46,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/random_fof_n100_seed46_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,45,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/lfhe_n100_seed45_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,46,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/lfhe_n100_seed46_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,200,45,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/static_random_n200_seed45_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,200,46,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/static_random_n200_seed46_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,200,45,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/random_fof_n200_seed45_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
random_fof,200,46,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/optional_headline/random_fof_n200_seed46_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
