method,num_clients,seed,output_dir
ring,10,42,outputs/paper_exact/ring_n10_seed42
ring,10,43,outputs/paper_exact/ring_n10_seed43
ring,10,44,outputs/paper_exact/ring_n10_seed44
random,10,42,outputs/paper_exact/random_n10_seed42
random,10,43,outputs/paper_exact/random_n10_seed43
random,10,44,outputs/paper_exact/random_n10_seed44
epidemic,10,42,outputs/paper_exact/epidemic_n10_seed42
epidemic,10,43,outputs/paper_exact/epidemic_n10_seed43
epidemic,10,44,outputs/paper_exact/epidemic_n10_seed44
dissdl,10,42,outputs/paper_exact/dissdl_n10_seed42
dissdl,10,43,outputs/paper_exact/dissdl_n10_seed43
dissdl,10,44,outputs/paper_exact/dissdl_n10_seed44
morph,10,42,outputs/paper_exact/morph_n10_seed42
morph,10,43,outputs/paper_exact/morph_n10_seed43
morph,10,44,outputs/paper_exact/morph_n10_seed44
lfhe,10,42,outputs/paper_exact/lfhe_n10_seed42
lfhe,10,43,outputs/paper_exact/lfhe_n10_seed43
lfhe,10,44,outputs/paper_exact/lfhe_n10_seed44
ring,50,42,outputs/paper_exact/ring_n50_seed42
ring,50,43,outputs/paper_exact/ring_n50_seed43
ring,50,44,outputs/paper_exact/ring_n50_seed44
random,50,42,outputs/paper_exact/random_n50_seed42
random,50,43,outputs/paper_exact/random_n50_seed43
random,50,44,outputs/paper_exact/random_n50_seed44
epidemic,50,42,outputs/paper_exact/epidemic_n50_seed42
epidemic,50,43,outputs/paper_exact/epidemic_n50_seed43
epidemic,50,44,outputs/paper_exact/epidemic_n50_seed44
dissdl,50,42,outputs/paper_exact/dissdl_n50_seed42
dissdl,50,43,outputs/paper_exact/dissdl_n50_seed43
dissdl,50,44,outputs/paper_exact/dissdl_n50_seed44
morph,50,42,outputs/paper_exact/morph_n50_seed42
morph,50,43,outputs/paper_exact/morph_n50_seed43
morph,50,44,outputs/paper_exact/morph_n50_seed44
lfhe,50,42,outputs/paper_exact/lfhe_n50_seed42
lfhe,50,43,outputs/paper_exact/lfhe_n50_seed43
lfhe,50,44,outputs/paper_exact/lfhe_n50_seed44
ring,100,42,outputs/paper_exact/ring_n100_seed42
ring,100,43,outputs/paper_exact/ring_n100_seed43
ring,100,44,outputs/paper_exact/ring_n100_seed44
random,100,42,outputs/paper_exact/random_n100_seed42
random,100,43,outputs/paper_exact/random_n100_seed43
random,100,44,outputs/paper_exact/random_n100_seed44
epidemic,100,42,outputs/paper_exact/epidemic_n100_seed42
epidemic,100,43,outputs/paper_exact/epidemic_n100_seed43
epidemic,100,44,outputs/paper_exact/epidemic_n100_seed44
dissdl,100,42,outputs/paper_exact/dissdl_n100_seed42
dissdl,100,43,outputs/paper_exact/dissdl_n100_seed43
dissdl,100,44,outputs/paper_exact/dissdl_n100_seed44
morph,100,42,outputs/paper_exact/morph_n100_seed42
morph,100,43,outputs/paper_exact/morph_n100_seed43
morph,100,44,outputs/paper_exact/morph_n100_seed44
lfhe,100,42,outputs/paper_exact/lfhe_n100_seed42
lfhe,100,43,outputs/paper_exact/lfhe_n100_seed43
lfhe,100,44,outputs/paper_exact/lfhe_n100_seed44
