method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,output_dir
ring,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/ring_n30_seed42_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
ring,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/ring_n30_seed43_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
ring,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/ring_n30_seed44_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
ring,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/ring_n30_seed45_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
ring,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/ring_n30_seed46_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
static_random,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/static_random_n30_seed42_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
static_random,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/static_random_n30_seed43_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
static_random,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/static_random_n30_seed44_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
static_random,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/static_random_n30_seed45_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
static_random,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/static_random_n30_seed46_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
epidemic,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/epidemic_n30_seed42_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
epidemic,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/epidemic_n30_seed43_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
epidemic,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/epidemic_n30_seed44_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
epidemic,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/epidemic_n30_seed45_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
epidemic,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/epidemic_n30_seed46_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
dissdl,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/dissdl_n30_seed42_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
dissdl,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/dissdl_n30_seed43_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
dissdl,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/dissdl_n30_seed44_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
dissdl,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/dissdl_n30_seed45_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
dissdl,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/dissdl_n30_seed46_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
lfhe,30,42,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/lfhe_n30_seed42_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
lfhe,30,43,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/lfhe_n30_seed43_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
lfhe,30,44,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/lfhe_n30_seed44_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
lfhe,30,45,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/lfhe_n30_seed45_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
lfhe,30,46,300,canonical,0.1,4,5,5,canonical_er,1.0,1,,32,10,30,true,sequential,fixed_total,,1,0.0,0,outputs/stage01_canonical/lfhe_n30_seed46_d4_p1_canonical_er_sequential_stale0_link0_fixed_total
