method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,output_dir
static_random,100,42,5,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage02_feas5/static_random_n100_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,100,42,5,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage02_feas5/static_random_n100_seed42_d4_p0.1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,42,5,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage02_feas5/lfhe_n100_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,42,5,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage02_feas5/lfhe_n100_seed42_d4_p0.1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,500,42,5,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,5,0.0,0,outputs/stage02_feas5/static_random_n500_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,500,42,5,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,10,50,true,sequential,fixed_total,,5,0.0,0,outputs/stage02_feas5/static_random_n500_seed42_d4_p0.1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,500,42,5,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,5,0.0,0,outputs/stage02_feas5/lfhe_n500_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,500,42,5,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,10,50,true,sequential,fixed_total,,5,0.0,0,outputs/stage02_feas5/lfhe_n500_seed42_d4_p0.1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,1000,42,5,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,3,0.0,0,outputs/stage02_feas5/static_random_n1000_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
static_random,1000,42,5,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,25,50,true,sequential,fixed_total,,3,0.0,0,outputs/stage02_feas5/static_random_n1000_seed42_d4_p0.1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,1000,42,5,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,25,50,true,sequential,fixed_total,,3,0.0,0,outputs/stage02_feas5/lfhe_n1000_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,1000,42,5,scalable,0.1,4,5,5,bounded_connected,0.1,1,,32,25,50,true,sequential,fixed_total,,3,0.0,0,outputs/stage02_feas5/lfhe_n1000_seed42_d4_p0.1_bounded_connected_sequential_stale0_link0_fixed_total
