method,num_clients,seed,rounds,protocol,alpha,dmax,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,local_steps,batch_size,checkpoint_interval,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,output_dir
lfhe,100,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed42_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed42_d4_p1_bounded_connected_snapshot_concurrent_stale0_link0_fixed_total
lfhe,100,42,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,5,outputs/stage06_concurrency/lfhe_n100_seed42_d4_p1_bounded_connected_snapshot_concurrent_stale5_link0_fixed_total
lfhe,100,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed43_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed43_d4_p1_bounded_connected_snapshot_concurrent_stale0_link0_fixed_total
lfhe,100,43,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,5,outputs/stage06_concurrency/lfhe_n100_seed43_d4_p1_bounded_connected_snapshot_concurrent_stale5_link0_fixed_total
lfhe,100,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed44_d4_p1_bounded_connected_sequential_stale0_link0_fixed_total
lfhe,100,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed44_d4_p1_bounded_connected_snapshot_concurrent_stale0_link0_fixed_total
lfhe,100,44,300,scalable,0.1,4,5,5,bounded_connected,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,5,outputs/stage06_concurrency/lfhe_n100_seed44_d4_p1_bounded_connected_snapshot_concurrent_stale5_link0_fixed_total
lfhe,100,42,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed42_d4_p1_clustered_sequential_stale0_link0_fixed_total
lfhe,100,42,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed42_d4_p1_clustered_snapshot_concurrent_stale0_link0_fixed_total
lfhe,100,42,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,5,outputs/stage06_concurrency/lfhe_n100_seed42_d4_p1_clustered_snapshot_concurrent_stale5_link0_fixed_total
lfhe,100,43,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed43_d4_p1_clustered_sequential_stale0_link0_fixed_total
lfhe,100,43,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed43_d4_p1_clustered_snapshot_concurrent_stale0_link0_fixed_total
lfhe,100,43,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,snapshot_concurrent,fixed_total,,10,0.0,5,outputs/stage06_concurrency/lfhe_n100_seed43_d4_p1_clustered_snapshot_concurrent_stale5_link0_fixed_total
lfhe,100,44,300,scalable,0.1,4,5,5,clustered,1.0,1,,32,10,50,true,sequential,fixed_total,,10,0.0,0,outputs/stage06_concurrency/lfhe_n100_seed44_d4_p1_clustered_sequential_stale0_link0_fixed_total
