suite,method,num_clients,seed,rounds,protocol,alpha,dmax,degree_regime,topology_interval,eval_interval,initial_graph,participation_rate,local_epochs,batch_size,lr,checkpoint_interval,checkpoint_policy,eval_clients,final_eval_all,update_mode,data_regime,samples_per_client,min_samples_per_client,link_failure_rate,stale_view_rounds,representation_mode,lfhe_start_round,output_dir
workshop_large_scale,static_random,1000,42,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/static_random_n1000_seed42_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,static_random,1000,43,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/static_random_n1000_seed43_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,static_random,1000,44,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/static_random_n1000_seed44_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,random_fof,1000,42,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/random_fof_n1000_seed42_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,random_fof,1000,43,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/random_fof_n1000_seed43_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,random_fof,1000,44,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/random_fof_n1000_seed44_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,lfhe,1000,42,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/lfhe_n1000_seed42_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,lfhe,1000,43,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/lfhe_n1000_seed43_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,lfhe,1000,44,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,auto,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/lfhe_n1000_seed44_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,morph,1000,42,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,disabled,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/morph_n1000_seed42_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,morph,1000,43,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,disabled,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/morph_n1000_seed43_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
workshop_large_scale,morph,1000,44,300,scalable,0.3,4,fixed4,5,5,bounded_connected,1.0,1,32,0.05,10,disabled,50,true,sequential,fixed_total,,,0,0,flatten,0,outputs/workshop_large_scale/morph_n1000_seed44_initheadroomv2_d4_fixed4_bounded_connected_sequential_stale0_p1.0_link0_fixed_total_a0.3
