"suite","method","n","dmax","completed_seeds","completion_count","final_edges_mean","final_mean_degree_mean","final_clustering_mean","final_spectral_gap_mean","candidate_packets_mean","committed_transactions_mean"
"workshop_headline_d4_initheadroomv2","dissdl","50","4","42;43;44;45;46","5","150.000000","5.872000","0.112899","0.325679","",""
"workshop_headline_d4_initheadroomv2","epidemic","50","4","42;43;44;45;46","5","200.000000","7.632000","0.144009","0.401335","",""
"workshop_headline_d4_initheadroomv2","static_random","50","4","46","1","75.000000","3.000000","0.073333","0.061793","",""
"workshop_headline_d4_initheadroomv2","dissdl","100","4","42;43;44;45;46","5","300.000000","5.932000","0.053685","0.281840","",""
"workshop_headline_d4_initheadroomv2","epidemic","100","4","42;43;44;45;46","5","400.000000","7.840000","0.065652","0.387514","",""
"workshop_headline_d4_initheadroomv2","lfhe","100","4","42;43;44;45","4","150.000000","3.000000","0.127083","0.044039","27102.750000","682.500000"
"workshop_headline_d4_initheadroomv2","morph","100","4","42;43;44;45;46","5","400.000000","7.820000","0.109347","0.374390","",""
"workshop_headline_d4_initheadroomv2","random_fof","100","4","42;43;44;45;46","5","150.000000","3.000000","0.278000","0.003785","23828.600000","905.000000"
"workshop_headline_d4_initheadroomv2","static_random","100","4","42;43;44;45;46","5","150.000000","3.000000","0.016333","0.070478","",""
"workshop_degree_sweep","static_random","100","4","42;43;44","3","150.000000","3.000000","0.018889","0.076546","",""
"workshop_degree_sweep","static_random","100","7","42;43;44","3","150.000000","3.000000","0.029159","0.075195","",""
"workshop_degree_sweep","static_random","100","8","42;43;44","3","150.000000","3.000000","0.029159","0.075195","",""
"workshop_headline_d4_initheadroomv2","dissdl","200","4","42;43;44;45;46","5","600.000000","5.956000","0.035606","0.275908","",""
"workshop_headline_d4_initheadroomv2","epidemic","200","4","42;43;44;45;46","5","800.000000","7.916000","0.036176","0.362659","",""
"workshop_degree_sweep","static_random","200","4","42;43;44","3","300.000000","3.000000","0.011111","0.070817","",""
"workshop_headline_d4_initheadroomv2","static_random","200","4","42;43;44;45;46","5","300.000000","3.000000","0.011111","0.069073","",""
"workshop_degree_sweep","static_random","200","8","42;43;44","3","300.000000","3.000000","0.010802","0.061565","",""
"workshop_headline_d4_initheadroomv2","dissdl","500","4","42;43;44;45;46","5","1500.000000","5.978400","0.010564","0.260486","",""
"workshop_headline_d4_initheadroomv2","epidemic","500","4","42;43;44;45;46","5","2000.000000","7.968800","0.014060","0.350586","",""
"workshop_headline_d4_initheadroomv2","static_random","500","4","42;43;44;45;46","5","750.000000","3.000000","0.004750","0.055887","",""
"workshop_degree_sweep","static_random","500","4","42;43;44","3","750.000000","3.000000","0.002500","0.054047","",""
"workshop_degree_sweep","static_random","500","8","42;43;44","3","750.000000","3.000000","0.001633","0.051724","",""
"workshop_degree_sweep","static_random","500","9","42;43;44","3","750.000000","3.000000","0.001633","0.051724","",""
"workshop_large_scale","static_random","1000","4","42;43;44","3","1500.000000","3.000000","0.001250","0.052009","",""
