"suite","data_regime","method","n","dmax","completed_seeds","completion_count","final_accuracy_mean","normalized_auc_mean","rounds_completed_mean","model_bytes_mean","control_bytes_mean","candidate_packets_mean","committed_transactions_mean","final_edges_mean","final_mean_degree_mean","final_clustering_mean","final_spectral_gap_mean"
"workshop_headline_d4_initheadroomv2","fixed_total","dissdl","50","4","42;43;44;45;46","5","0.740376","0.638655","300.000000","","","","","150.000000","5.872000","0.112899","0.325679"
"workshop_headline_d4_initheadroomv2","fixed_total","epidemic","50","4","42;43;44;45;46","5","0.754318","0.649799","300.000000","","","","","200.000000","7.632000","0.144009","0.401335"
"workshop_headline_d4_initheadroomv2","fixed_total","static_random","50","4","46","1","0.720476","0.616024","300.000000","","","","","75.000000","3.000000","0.073333","0.061793"
"workshop_headline_d4_initheadroomv2","fixed_total","dissdl","100","4","42;43;44;45;46","5","0.691472","0.572236","300.000000","","","","","300.000000","5.932000","0.053685","0.281840"
"workshop_headline_d4_initheadroomv2","fixed_total","epidemic","100","4","42;43;44;45;46","5","0.696443","0.578910","300.000000","","","","","400.000000","7.840000","0.065652","0.387514"
"workshop_headline_d4_initheadroomv2","fixed_total","lfhe","100","4","42;43;44;45","4","0.675151","0.557260","300.000000","119273040000.000000","1437275.250000","27102.750000","682.500000","150.000000","3.000000","0.127083","0.044039"
"workshop_headline_d4_initheadroomv2","fixed_total","morph","100","4","42;43;44;45;46","5","0.705163","0.594443","300.000000","","","","","400.000000","7.820000","0.109347","0.374390"
"workshop_headline_d4_initheadroomv2","fixed_total","random_fof","100","4","42;43;44;45;46","5","0.646677","0.538270","300.000000","119273040000.000000","1425088.200000","23828.600000","905.000000","150.000000","3.000000","0.278000","0.003785"
"workshop_headline_d4_initheadroomv2","fixed_total","static_random","100","4","42;43;44;45;46","5","0.671432","0.555069","300.000000","","","","","150.000000","3.000000","0.016333","0.070478"
"workshop_headline_d4_initheadroomv2","fixed_total","dissdl","200","4","42;43;44;45;46","5","0.626531","0.501387","300.000000","","","","","600.000000","5.956000","0.035606","0.275908"
"workshop_headline_d4_initheadroomv2","fixed_total","epidemic","200","4","42;43;44;45;46","5","0.638832","0.515223","300.000000","","","","","800.000000","7.916000","0.036176","0.362659"
"workshop_headline_d4_initheadroomv2","fixed_total","static_random","200","4","42;43;44;45;46","5","0.605376","0.484414","300.000000","","","","","300.000000","3.000000","0.011111","0.069073"
"workshop_headline_d4_initheadroomv2","fixed_total","dissdl","500","4","42;43;44;45;46","5","0.536283","0.419254","300.000000","","","","","1500.000000","5.978400","0.010564","0.260486"
"workshop_headline_d4_initheadroomv2","fixed_total","epidemic","500","4","42;43;44;45;46","5","0.552269","0.432450","300.000000","","","","","2000.000000","7.968800","0.014060","0.350586"
"workshop_headline_d4_initheadroomv2","fixed_total","static_random","500","4","42;43;44;45;46","5","0.503931","0.397829","300.000000","","","","","750.000000","3.000000","0.004750","0.055887"
